half;n;n_real;n_synth;jaccard_min;jaccard_max;jaccard_mean;bm25;e5;e5_hybrid;bge_m3_hybrid;vantagem_semantica_bge_bm25
inferior;450;404;46;0.0;0.75;0.4468397397581358;0.716535251111111;0.6689390444444444;0.7236354466666666;0.7395528444444444;0.023017593333333308
superior;450;448;2;0.7586206896551724;1.0;0.8253499303958446;0.8515634866666667;0.7403330577777778;0.7944938533333334;0.8381685888888888;-0.013394897777777914
