method;half;recall;precision_interpolated
bm25;inferior;0.0;1.0
bm25;inferior;0.0018832391713747645;0.6666666666666666
bm25;inferior;0.003766478342749529;0.6666666666666666
bm25;inferior;0.005649717514124294;0.5714285714285714
bm25;inferior;0.007532956685499058;0.5714285714285714
bm25;inferior;0.009416195856873822;0.3125
bm25;inferior;0.011299435028248588;0.24
bm25;inferior;0.013182674199623353;0.23893805309734514
bm25;inferior;0.015065913370998116;0.23893805309734514
bm25;inferior;0.01694915254237288;0.23893805309734514
bm25;inferior;0.018832391713747645;0.23893805309734514
bm25;inferior;0.02071563088512241;0.23893805309734514
bm25;inferior;0.02448210922787194;0.23893805309734514
bm25;inferior;0.030131826741996232;0.23893805309734514
bm25;inferior;0.032015065913371;0.23893805309734514
bm25;inferior;0.03389830508474576;0.23893805309734514
bm25;inferior;0.035781544256120526;0.23893805309734514
bm25;inferior;0.03766478342749529;0.23893805309734514
bm25;inferior;0.04143126177024482;0.23893805309734514
bm25;inferior;0.04331450094161959;0.23893805309734514
bm25;inferior;0.05084745762711865;0.23893805309734514
bm25;inferior;0.05273069679849341;0.2345679012345679
bm25;inferior;0.054613935969868174;0.2345679012345679
bm25;inferior;0.05649717514124294;0.2345679012345679
bm25;inferior;0.0583804143126177;0.2345679012345679
bm25;inferior;0.060263653483992465;0.2345679012345679
bm25;inferior;0.062146892655367235;0.2345679012345679
bm25;inferior;0.064030131826742;0.2345679012345679
bm25;inferior;0.06591337099811675;0.2345679012345679
bm25;inferior;0.06779661016949153;0.2345679012345679
bm25;inferior;0.0696798493408663;0.2345679012345679
bm25;inferior;0.07156308851224105;0.2345679012345679
bm25;inferior;0.07344632768361582;0.2345679012345679
bm25;inferior;0.07532956685499058;0.2345679012345679
bm25;inferior;0.07721280602636535;0.2345679012345679
bm25;inferior;0.07909604519774012;0.2345679012345679
bm25;inferior;0.08286252354048965;0.2345679012345679
bm25;inferior;0.0847457627118644;0.2345679012345679
bm25;inferior;0.08662900188323917;0.2345679012345679
bm25;inferior;0.09227871939736347;0.2345679012345679
bm25;inferior;0.096045197740113;0.2345679012345679
bm25;inferior;0.09792843691148775;0.2345679012345679
bm25;inferior;0.09981167608286252;0.2345679012345679
bm25;inferior;0.10357815442561205;0.2345679012345679
bm25;inferior;0.10734463276836158;0.2345679012345679
bm25;inferior;0.10922787193973635;0.23106060606060605
bm25;inferior;0.11299435028248588;0.23106060606060605
bm25;inferior;0.11487758945386065;0.23106060606060605
bm25;inferior;0.1167608286252354;0.22748815165876776
bm25;inferior;0.11864406779661017;0.22748815165876776
bm25;inferior;0.12429378531073447;0.22748815165876776
bm25;inferior;0.128060263653484;0.22748815165876776
bm25;inferior;0.12994350282485875;0.22748815165876776
bm25;inferior;0.1318267419962335;0.22748815165876776
bm25;inferior;0.1337099811676083;0.22748815165876776
bm25;inferior;0.13559322033898305;0.22748815165876776
bm25;inferior;0.1374764595103578;0.22748815165876776
bm25;inferior;0.1431261770244821;0.22748815165876776
bm25;inferior;0.14500941619585686;0.22748815165876776
bm25;inferior;0.14689265536723164;0.22748815165876776
bm25;inferior;0.15065913370998116;0.22748815165876776
bm25;inferior;0.15254237288135594;0.22748815165876776
bm25;inferior;0.1544256120527307;0.22748815165876776
bm25;inferior;0.160075329566855;0.22748815165876776
bm25;inferior;0.16195856873822975;0.22748815165876776
bm25;inferior;0.1657250470809793;0.22748815165876776
bm25;inferior;0.16760828625235405;0.22748815165876776
bm25;inferior;0.1713747645951036;0.22748815165876776
bm25;inferior;0.17325800376647835;0.22748815165876776
bm25;inferior;0.1751412429378531;0.22748815165876776
bm25;inferior;0.17702448210922786;0.22748815165876776
bm25;inferior;0.17890772128060264;0.22748815165876776
bm25;inferior;0.1807909604519774;0.22748815165876776
bm25;inferior;0.18267419962335216;0.22614840989399293
