run_id;started_at;method;products_tested;avg_retrieval_time_ms;avg_MAP;avg_P@5;avg_P@10;avg_P_5;avg_P_10;retrieval_limit;avg_Recall@10;avg_Recall@50;avg_Recall@100
20260829_181933;2026-08-29T18:19:33.773034-03:00;bm25;48;184.731;0.559239;0.254167;0.164583;0.254167;0.164583;100;0.947917;0.989583;1.000000
20260829_181933;2026-08-29T18:19:33.773034-03:00;e5;48;1902.819;0.580433;0.291667;0.170833;0.291667;0.170833;100;0.979167;1.000000;1.000000
20260829_181933;2026-08-29T18:19:33.773034-03:00;e5_hybrid;48;22.406;0.674960;0.312500;0.170833;0.312500;0.170833;100;0.979167;1.000000;1.000000
20260829_181933;2026-08-29T18:19:33.773034-03:00;bge_m3;48;384.380;0.722752;0.275000;0.160417;0.275000;0.160417;100;0.934028;0.989583;1.000000
20260829_181933;2026-08-29T18:19:33.773034-03:00;bge_m3_hybrid;48;154.323;0.711376;0.304167;0.166667;0.304167;0.166667;100;0.958333;1.000000;1.000000
