source	query_id	target_id	jaccard
real_295	17146	119965	0.0
real_295	28014	119988	0.14285714285714285
real_295	36363	120428	0.08
real_295	27741	120506	0.1111111111111111
real_295	27742	120508	0.11764705882352941
real_295	5620	120573	0.2916666666666667
real_295	5618	120574	0.2916666666666667
real_295	5920	120801	0.4166666666666667
real_295	7939	120859	0.4117647058823529
real_295	17653	121622	0.15
real_295	5915	121780	0.25
real_295	18476	122167	0.2
real_295	37327	122463	0.25
real_295	37328	122464	0.25
real_295	6441	122693	0.10344827586206896
real_295	42249	123342	0.18181818181818182
real_295	16718	123559	0.5
real_295	16677	123613	0.9090909090909091
real_295	17691	123704	0.18181818181818182
real_295	41222	124369	0.9285714285714286
real_295	6643	124395	0.7894736842105263
real_295	50871	124409	0.3888888888888889
real_295	16719	124433	0.3902439024390244
real_295	5604	124498	0.18181818181818182
real_295	39408	124568	0.13043478260869565
real_295	17644	124653	0.15789473684210525
real_295	35638	124806	1.0
real_295	6183	124807	1.0
real_295	6184	124808	1.0
real_295	35639	124809	1.0
real_295	6186	124810	1.0
real_295	35640	124811	1.0
real_295	35642	124813	1.0
real_295	35643	124814	1.0
real_295	35644	124816	1.0
real_295	35645	124817	1.0
real_295	35646	124818	1.0
real_295	35647	124819	1.0
real_295	35648	124820	1.0
real_295	35650	124827	1.0
real_295	35651	124828	1.0
real_295	35652	124829	1.0
real_295	35653	124830	1.0
real_295	35661	124840	0.6
real_295	35659	124841	0.5333333333333333
real_295	35660	124842	0.5333333333333333
real_295	35662	124843	0.5333333333333333
real_295	35677	124863	1.0
real_295	35678	124864	1.0
real_295	35663	124868	0.8125
real_295	14589	124873	0.47368421052631576
real_295	8617	124876	0.75
real_295	8618	124877	0.7
real_295	8619	124878	0.7
real_295	8620	124879	0.7
real_295	8615	124883	0.7
real_295	41576	124906	0.8947368421052632
real_295	41575	124908	0.8947368421052632
real_295	41573	124912	0.8461538461538461
real_295	41574	124913	0.8461538461538461
real_295	37368	124917	0.26666666666666666
real_295	35679	124926	0.8181818181818182
real_295	8068	124934	0.6875
real_295	35680	124936	0.8666666666666667
real_295	35681	124970	1.0
real_295	35682	124971	1.0
real_295	29044	124972	0.3888888888888889
real_295	29849	124973	0.3888888888888889
real_295	35683	124974	1.0
real_295	29181	124975	0.3888888888888889
real_295	34158	124976	0.3888888888888889
real_295	35684	124978	1.0
real_295	6197	124992	1.0
real_295	35694	124999	1.0
real_295	35695	125001	0.8571428571428571
real_295	35696	125002	0.8571428571428571
real_295	35697	125004	0.625
real_295	35698	125005	0.625
real_295	12299	125024	0.5
real_295	35699	125035	0.8333333333333334
real_295	6198	125070	1.0
real_295	35704	125079	1.0
real_295	15552	125085	0.14285714285714285
real_295	35705	125093	1.0
real_295	15551	125095	0.3076923076923077
real_295	16700	125098	0.4166666666666667
real_295	12741	125106	0.55
real_295	12740	125107	0.55
real_295	35706	125108	0.8666666666666667
real_295	6024	126721	0.5555555555555556
real_295	34737	126721	0.45454545454545453
real_295	6025	126722	0.6666666666666666
real_295	34757	126722	0.6666666666666666
real_295	6026	126723	0.75
real_295	717	126723	0.75
real_295	6027	126724	0.8095238095238095
real_295	923	126724	0.8095238095238095
real_295	6028	126735	0.7777777777777778
real_295	34835	126735	0.7777777777777778
real_295	6029	126736	0.8
real_295	6030	126737	0.8095238095238095
real_295	6031	126738	0.8095238095238095
real_295	6032	126739	0.8095238095238095
real_295	1422	126740	0.7142857142857143
real_295	6033	126740	0.7142857142857143
real_295	6034	126741	0.8
real_295	6035	126742	0.8
real_295	6036	126743	0.8
real_295	6037	126744	0.7777777777777778
real_295	6038	126745	0.8333333333333334
real_295	6039	126746	0.8333333333333334
real_295	6040	126747	0.8333333333333334
real_295	6041	126748	0.8518518518518519
real_295	48090	126748	0.8518518518518519
real_295	6042	126749	0.84
real_295	15653	126749	0.84
real_295	6043	126750	0.84
real_295	48089	126750	0.84
real_295	6044	126751	0.5555555555555556
real_295	1670	126751	0.5555555555555556
real_295	6045	126752	0.5
real_295	1677	126752	0.5
real_295	6046	126753	0.7333333333333333
real_295	6047	126754	0.8461538461538461
real_295	6048	126755	0.42857142857142855
real_295	2214	126755	0.42857142857142855
real_295	6049	126756	0.42857142857142855
real_295	6050	126757	0.6
real_295	6051	126758	0.7333333333333333
real_295	34972	126758	0.625
real_295	6052	126759	0.75
real_295	34973	126759	0.6470588235294118
real_295	6053	126760	0.8260869565217391
real_295	34976	126760	0.75
real_295	6054	126761	0.8518518518518519
real_295	2235	126761	0.8518518518518519
real_295	2236	126762	0.75
real_295	6055	126762	0.75
real_295	6056	126763	0.8461538461538461
real_295	34997	126763	0.8461538461538461
real_295	6057	126764	0.8461538461538461
real_295	2477	126764	0.8461538461538461
real_295	2616	126765	0.5
real_295	6058	126765	0.5
