run_id;started_at;method;products_tested;avg_retrieval_time_ms;avg_MAP;avg_P@5;avg_P@10;avg_P_5;avg_P_10;retrieval_limit;avg_Recall@10;avg_Recall@50;avg_Recall@100
20260829_174848;2026-08-29T17:48:48.691622-03:00;bm25;852;15.873;0.796715;0.204460;0.107394;0.204460;0.107394;100;0.972613;0.992958;0.998826
20260829_174848;2026-08-29T17:48:48.691622-03:00;e5;852;283.273;0.711633;0.185446;0.103756;0.185446;0.103756;100;0.941706;0.989437;0.992958
20260829_174848;2026-08-29T17:48:48.691622-03:00;e5_hybrid;852;48.735;0.763803;0.198826;0.107277;0.198826;0.107277;100;0.970462;0.995305;0.997653
20260829_174848;2026-08-29T17:48:48.691622-03:00;bge_m3_hybrid;852;378.558;0.793226;0.203521;0.107981;0.203521;0.107981;100;0.976721;1.000000;1.000000
