recall;bm25;e5;e5_hybrid;bge_m3;bge_m3_hybrid
0.230570000;0.270195;0.110294;0.534351;0.227621;0.547988
0.233161000;0.270195;0.110294;0.534351;0.218978;0.547988
0.235751000;0.270195;0.107143;0.534351;0.216981;0.547988
0.238342000;0.270195;0.107143;0.534351;0.216981;0.547988
0.240933000;0.270195;0.107143;0.534351;0.203501;0.547988
0.243523000;0.270195;0.107143;0.534351;0.200855;0.547988
0.246114000;0.270195;0.107143;0.534351;0.194672;0.547988
0.248705000;0.270195;0.107143;0.534351;0.186090;0.547988
0.251295000;0.270195;0.106870;0.534351;0.186090;0.547988
0.253886000;0.217300;0.106870;0.534351;0.186090;0.547988
0.256477000;0.217300;0.105431;0.534351;0.186090;0.547988
0.259067000;0.217300;0.105263;0.534351;0.170358;0.547988
0.261658000;0.217300;0.105263;0.534351;0.168614;0.547988
0.264249000;0.217300;0.105263;0.534351;0.161392;0.547988
0.266839000;0.217300;0.105263;0.534351;0.157337;0.547988
0.269430000;0.192593;0.105263;0.534351;0.157337;0.547988
0.272021000;0.185567;0.105263;0.534351;0.156951;0.547988
0.274611000;0.185567;0.105263;0.534351;0.140770;0.547988
0.277202000;0.185567;0.105263;0.534351;0.138601;0.547988
0.279793000;0.185567;0.105263;0.534351;0.126464;0.547988
0.282383000;0.157459;0.104306;0.534351;0.120575;0.547988
0.284974000;0.157459;0.104278;0.534351;0.120350;0.547988
0.287565000;0.157459;0.104278;0.534351;0.118337;0.547988
0.290155000;0.157459;0.104278;0.534351;0.109482;0.547988
0.292746000;0.157459;0.104278;0.534351;0.108968;0.547988
0.295337000;0.157459;0.104278;0.534351;0.103697;0.547988
0.297927000;0.152344;0.104278;0.534351;0.103697;0.547988
0.300518000;0.152344;0.104278;0.534351;0.103111;0.547988
0.303109000;0.152344;0.104278;0.534351;0.099829;0.547988
0.305699000;0.151707;0.104203;0.534351;0.099410;0.547988
0.308290000;0.151707;0.104203;0.534351;0.099167;0.547988
0.310881000;0.151707;0.103359;0.534351;0.098526;0.547988
0.313472000;0.149165;0.098534;0.534351;0.098526;0.547988
0.316062000;0.149165;0.097994;0.534351;0.098526;0.547988
