recall;bge_m3
0.000000000;1.000000
0.001059000;0.330344
0.002119000;0.330344
0.011653000;0.330344
0.012712000;0.330344
0.013771000;0.330344
0.014831000;0.330344
0.015890000;0.330344
0.016949000;0.330344
0.018008000;0.330344
0.019068000;0.330344
0.020127000;0.330344
0.021186000;0.330344
0.022246000;0.330344
0.023305000;0.330344
0.024364000;0.330344
0.025424000;0.330344
0.026483000;0.330344
0.027542000;0.330344
0.028602000;0.330344
0.029661000;0.330344
0.030720000;0.330344
0.031780000;0.330344
0.032839000;0.330344
0.033898000;0.330344
0.034958000;0.330344
0.036017000;0.330344
0.037076000;0.330344
0.038136000;0.330344
0.039195000;0.330344
0.040254000;0.330344
0.041314000;0.330344
0.042373000;0.330344
0.043432000;0.330344
0.044492000;0.330344
0.045551000;0.330344
0.046610000;0.330344
0.047669000;0.330344
0.048729000;0.330344
0.049788000;0.330344
0.050847000;0.330344
0.051907000;0.330344
0.052966000;0.330344
0.054025000;0.330344
0.055085000;0.330344
0.056144000;0.330344
0.057203000;0.330344
0.058263000;0.330344
0.059322000;0.330344
0.060381000;0.330344
0.061441000;0.330344
0.062500000;0.330344
0.063559000;0.330344
0.064619000;0.330344
0.065678000;0.330344
0.066737000;0.330344
0.067797000;0.330344
0.068856000;0.330344
0.069915000;0.330344
0.070975000;0.330344
0.073093000;0.330344
0.074153000;0.330344
0.075212000;0.330344
0.076271000;0.330344
0.077331000;0.330344
0.078390000;0.330344
0.079449000;0.330344
0.080508000;0.330344
0.081568000;0.330344
0.082627000;0.330344
0.083686000;0.330344
0.084746000;0.330344
0.085805000;0.330344
0.086864000;0.330344
0.087924000;0.330344
0.088983000;0.330344
0.090042000;0.330344
0.091102000;0.330344
0.092161000;0.330344
0.093220000;0.330344
0.094280000;0.330344
0.095339000;0.330344
0.096398000;0.330344
0.097458000;0.330344
0.098517000;0.330344
0.099576000;0.330344
0.100636000;0.330344
0.101695000;0.330344
0.102754000;0.330344
0.103814000;0.330344
0.104873000;0.330344
0.105932000;0.330344
0.106992000;0.330344
0.108051000;0.330344
0.109110000;0.330344
0.110169000;0.330344
0.111229000;0.330344
0.112288000;0.330344
0.113347000;0.330344
0.114407000;0.330344
0.115466000;0.330344
0.116525000;0.330344
0.117585000;0.330344
0.118644000;0.330344
0.119703000;0.330344
0.120763000;0.330344
0.121822000;0.330344
0.122881000;0.330344
0.123941000;0.330344
0.125000000;0.330344
0.126059000;0.330344
0.127119000;0.330344
0.128178000;0.330344
0.129237000;0.330344
0.130297000;0.330344
0.131356000;0.330344
0.132415000;0.330344
0.134534000;0.330344
0.135593000;0.330344
0.136653000;0.330344
0.137712000;0.330344
0.138771000;0.330344
0.139831000;0.330344
0.140890000;0.330344
0.141949000;0.330344
0.143008000;0.330344
0.144068000;0.330344
0.147246000;0.330344
0.148305000;0.330344
0.149364000;0.330344
0.150424000;0.330344
0.151483000;0.330344
0.152542000;0.330344
0.153602000;0.330344
0.154661000;0.330344
0.155720000;0.330344
0.156780000;0.330344
0.157839000;0.330344
0.159958000;0.330344
0.161017000;0.330344
0.163136000;0.330344
0.164195000;0.330344
0.165254000;0.330344
0.166314000;0.330344
0.167373000;0.330344
0.168432000;0.330344
0.169492000;0.330344
0.170551000;0.330344
0.171610000;0.330344
0.172669000;0.330344
0.173729000;0.330344
0.174788000;0.330344
0.175847000;0.330344
0.176907000;0.330344
0.177966000;0.330344
0.179025000;0.330344
0.180085000;0.330344
0.181144000;0.330344
0.182203000;0.330344
0.183263000;0.330344
0.185381000;0.330344
0.186441000;0.330344
0.187500000;0.330344
0.188559000;0.330344
0.189619000;0.330344
0.190678000;0.330344
0.191737000;0.330344
0.193856000;0.330344
0.194915000;0.330344
0.195975000;0.330344
0.197034000;0.330344
0.198093000;0.330344
0.199153000;0.330344
0.200212000;0.330344
0.201271000;0.330344
0.202331000;0.330344
0.203390000;0.330344
0.204449000;0.330344
0.205508000;0.330344
0.206568000;0.330344
0.207627000;0.330344
0.208686000;0.330344
0.209746000;0.330344
0.210805000;0.330344
0.211864000;0.330344
0.212924000;0.330344
0.213983000;0.330344
0.215042000;0.330344
0.216102000;0.330344
0.217161000;0.330344
0.218220000;0.330344
0.219280000;0.330344
0.220339000;0.330344
0.221398000;0.330344
0.222458000;0.330344
0.223517000;0.330344
0.224576000;0.330344
0.225636000;0.330344
0.226695000;0.330344
0.228814000;0.330344
0.229873000;0.330344
0.231992000;0.330344
0.234110000;0.330344
0.235169000;0.329882
0.236229000;0.329882
0.237288000;0.329429
0.238347000;0.329429
0.239407000;0.327684
0.240466000;0.327684
0.241525000;0.327684
0.242585000;0.327684
0.243644000;0.327684
0.245763000;0.327684
0.246822000;0.326331
0.247881000;0.321526
0.248941000;0.321526
0.250000000;0.321526
0.251059000;0.318548
0.252119000;0.317460
0.253178000;0.317460
0.254237000;0.317460
0.255297000;0.317197
0.257415000;0.317197
0.258475000;0.317197
0.260593000;0.317197
0.261653000;0.317197
0.262712000;0.317197
0.263771000;0.317197
0.264831000;0.316981
0.266949000;0.316981
0.268008000;0.315461
0.269068000;0.314389
0.270127000;0.314389
0.271186000;0.314389
0.272246000;0.314389
0.273305000;0.314389
0.274364000;0.314389
0.275424000;0.314389
0.276483000;0.312277
0.277542000;0.312277
0.278602000;0.309776
0.279661000;0.304598
0.280720000;0.304598
0.281780000;0.303307
0.282839000;0.303269
0.283898000;0.303269
0.284958000;0.303269
0.286017000;0.302632
0.287076000;0.302632
0.288136000;0.302632
0.289195000;0.302632
0.290254000;0.302632
0.291314000;0.302632
0.292373000;0.302632
0.293432000;0.301384
0.294492000;0.301384
0.295551000;0.301384
0.296610000;0.301384
0.297669000;0.301384
0.298729000;0.301384
0.299788000;0.301384
0.300847000;0.294780
0.301907000;0.294780
0.302966000;0.294780
0.304025000;0.294780
0.305085000;0.294780
0.306144000;0.292214
0.307203000;0.291000
0.308263000;0.291000
0.309322000;0.287749
0.311441000;0.287749
0.312500000;0.287749
0.313559000;0.287749
0.314619000;0.287749
0.316737000;0.287749
0.317797000;0.287749
0.318856000;0.287749
0.319915000;0.287749
0.320975000;0.287749
0.322034000;0.285178
0.323093000;0.278793
0.324153000;0.276923
0.325212000;0.276690
0.326271000;0.276690
0.327331000;0.276690
0.328390000;0.276690
0.329449000;0.276690
0.330508000;0.276258
0.331568000;0.276258
0.332627000;0.275832
0.333686000;0.275832
0.334746000;0.275501
0.335805000;0.275413
0.336864000;0.273196
0.337924000;0.272496
0.340042000;0.272496
0.341102000;0.270588
0.342161000;0.269391
0.343220000;0.268212
0.344280000;0.267490
0.345339000;0.264469
0.346398000;0.264469
0.347458000;0.264469
0.348517000;0.264469
0.349576000;0.264211
0.350636000;0.264166
0.351695000;0.262384
0.353814000;0.262384
0.354873000;0.262384
0.355932000;0.262384
0.356992000;0.262384
0.358051000;0.262384
0.359110000;0.262384
0.360169000;0.259119
0.361229000;0.259119
0.362288000;0.256950
0.363347000;0.256737
0.364407000;0.255004
0.365466000;0.252562
0.366525000;0.250525
0.367585000;0.250525
0.368644000;0.250525
0.369703000;0.250525
0.370763000;0.250525
0.371822000;0.250525
0.373941000;0.250525
0.375000000;0.250525
0.376059000;0.250525
0.377119000;0.250525
0.378178000;0.250525
0.379237000;0.250525
0.380297000;0.247083
0.381356000;0.247083
0.382415000;0.245913
0.383475000;0.243788
0.384534000;0.243788
0.385593000;0.241266
0.386653000;0.241266
0.387712000;0.241266
0.388771000;0.239556
0.389831000;0.239427
0.390890000;0.237758
0.391949000;0.235519
0.393008000;0.235257
0.394068000;0.233896
0.395127000;0.233896
0.396186000;0.233896
0.397246000;0.230769
0.398305000;0.230440
0.399364000;0.230440
0.401483000;0.229976
0.402542000;0.229469
0.403602000;0.226921
0.404661000;0.226169
0.405720000;0.222934
0.406780000;0.222738
0.407839000;0.220252
0.408898000;0.217710
0.409958000;0.216928
0.411017000;0.215197
0.412076000;0.214325
0.413136000;0.213933
0.414195000;0.209290
0.415254000;0.209290
0.416314000;0.208931
0.417373000;0.208576
0.418432000;0.206590
0.419492000;0.205821
0.420551000;0.205366
0.421610000;0.205366
0.422669000;0.202628
0.424788000;0.202628
0.425847000;0.201909
0.426907000;0.199610
0.427966000;0.199610
0.429025000;0.199610
0.433263000;0.199610
0.434322000;0.196933
0.435381000;0.196933
0.436441000;0.196659
0.437500000;0.196013
0.438559000;0.193820
0.439619000;0.192982
0.440678000;0.192982
0.441737000;0.192982
0.442797000;0.192982
0.443856000;0.192467
0.444915000;0.192255
0.445975000;0.192255
0.447034000;0.192255
0.448093000;0.190971
0.449153000;0.190819
0.450212000;0.190604
0.451271000;0.190604
0.452331000;0.190031
0.453390000;0.187744
0.455508000;0.187744
0.456568000;0.187744
0.457627000;0.187744
0.458686000;0.187311
0.459746000;0.187311
0.460805000;0.186216
0.461864000;0.186066
0.462924000;0.186066
0.463983000;0.186066
0.465042000;0.185606
0.466102000;0.185606
0.467161000;0.185606
0.468220000;0.185323
0.469280000;0.185323
0.470339000;0.185323
0.471398000;0.185323
0.472458000;0.185323
0.473517000;0.185323
0.474576000;0.185048
0.476695000;0.184988
0.477754000;0.184988
0.478814000;0.184703
0.479873000;0.184703
0.480932000;0.184703
0.481992000;0.183099
0.483051000;0.181384
0.484110000;0.179921
0.485169000;0.179388
0.486229000;0.179388
0.487288000;0.179388
0.488347000;0.179388
0.489407000;0.179388
0.490466000;0.179388
0.491525000;0.179024
0.492585000;0.179024
0.493644000;0.179024
0.494703000;0.178449
0.495763000;0.177879
0.496822000;0.177736
0.497881000;0.177736
0.498941000;0.177736
0.500000000;0.177671
0.503178000;0.177671
0.504237000;0.177671
0.506356000;0.177671
0.507415000;0.177671
0.508475000;0.176665
0.509534000;0.176642
0.510593000;0.176642
0.512712000;0.176642
0.514831000;0.176215
0.515890000;0.176197
0.516949000;0.176197
0.519068000;0.176197
0.521186000;0.176197
0.522246000;0.176197
0.523305000;0.174250
0.524364000;0.174173
0.525424000;0.173776
0.526483000;0.173776
0.527542000;0.173519
0.528602000;0.173388
0.529661000;0.173388
0.530720000;0.173388
0.531780000;0.173388
0.532839000;0.173388
0.533898000;0.173375
0.534958000;0.171806
0.537076000;0.171806
0.538136000;0.170127
0.539195000;0.169667
0.540254000;0.169251
0.541314000;0.169251
0.542373000;0.169251
0.543432000;0.169251
0.544492000;0.169130
0.545551000;0.169130
0.546610000;0.169069
0.547669000;0.168459
0.548729000;0.167900
0.549788000;0.167900
0.550847000;0.167900
0.552966000;0.167900
0.554025000;0.167897
0.555085000;0.167195
0.556144000;0.167195
0.558263000;0.167195
0.560381000;0.166667
0.561441000;0.166092
0.562500000;0.165369
0.563559000;0.164811
0.564619000;0.164811
0.565678000;0.164713
0.567797000;0.164266
0.568856000;0.162974
0.569915000;0.162548
0.570975000;0.162548
0.572034000;0.162548
0.573093000;0.162548
0.574153000;0.162548
0.575212000;0.162548
0.576271000;0.162548
0.577331000;0.162548
0.578390000;0.162548
0.579449000;0.162266
0.580508000;0.162178
0.581568000;0.162138
0.582627000;0.161149
0.583686000;0.161064
0.584746000;0.160093
0.585805000;0.159827
0.586864000;0.159712
0.587924000;0.159712
0.588983000;0.158253
0.590042000;0.158253
0.591102000;0.158253
0.592161000;0.158044
0.593220000;0.158043
0.594280000;0.158043
0.595339000;0.158043
0.596398000;0.156956
0.597458000;0.156457
0.598517000;0.156457
0.599576000;0.156457
0.600636000;0.156457
0.601695000;0.156259
0.602754000;0.155168
0.603814000;0.155108
0.604873000;0.155108
0.605932000;0.155108
0.606992000;0.155108
0.608051000;0.155108
0.609110000;0.155108
0.610169000;0.155108
0.611229000;0.155108
0.612288000;0.154922
0.613347000;0.154922
0.614407000;0.154922
0.616525000;0.154922
0.618644000;0.154922
0.619703000;0.154922
0.621822000;0.154922
0.622881000;0.153766
0.625000000;0.153746
0.626059000;0.153746
0.627119000;0.151756
0.629237000;0.151299
0.630297000;0.150671
0.631356000;0.150353
0.632415000;0.149725
0.633475000;0.149725
0.634534000;0.149428
0.635593000;0.149428
0.636653000;0.149428
0.637712000;0.148752
0.638771000;0.147867
0.639831000;0.147713
0.640890000;0.147417
0.643008000;0.145377
0.644068000;0.145377
0.646186000;0.145377
0.647246000;0.144784
0.648305000;0.144784
0.649364000;0.143392
0.650424000;0.140176
0.651483000;0.140176
0.652542000;0.140176
0.655720000;0.140176
0.656780000;0.140176
0.657839000;0.139306
0.658898000;0.139306
0.659958000;0.138260
0.661017000;0.138145
0.662076000;0.137977
0.663136000;0.137977
0.664195000;0.137577
0.666314000;0.137577
0.667373000;0.137106
0.670551000;0.136393
0.671610000;0.136315
0.672669000;0.136120
0.673729000;0.133584
0.675847000;0.133584
0.677966000;0.133584
0.679025000;0.132630
0.680085000;0.132508
0.681144000;0.131924
0.683263000;0.131902
0.684322000;0.130505
0.685381000;0.129894
0.686441000;0.126981
0.687500000;0.126981
0.688559000;0.125774
0.689619000;0.123837
0.690678000;0.123837
0.692797000;0.123489
0.693856000;0.122019
0.694915000;0.121978
0.695975000;0.121798
0.700212000;0.121798
0.701271000;0.120815
0.703390000;0.120815
0.704449000;0.119841
0.705508000;0.119462
0.707627000;0.118861
0.708686000;0.118491
0.709746000;0.118354
0.710805000;0.118278
0.711864000;0.118278
0.712924000;0.118278
0.713983000;0.118109
0.715042000;0.118109
0.716102000;0.118109
0.717161000;0.118109
0.718220000;0.117852
0.719280000;0.117678
0.720339000;0.117262
0.721398000;0.116970
0.722458000;0.115047
0.723517000;0.114964
0.725636000;0.114639
0.726695000;0.114639
0.727754000;0.114386
0.728814000;0.114286
0.729873000;0.114257
0.730932000;0.114257
0.731992000;0.113038
0.733051000;0.112465
0.734110000;0.112209
0.735169000;0.111594
0.736229000;0.110863
0.737288000;0.110705
0.738347000;0.110173
0.739407000;0.110173
0.740466000;0.110173
0.742585000;0.110173
0.743644000;0.110173
0.744703000;0.110173
0.745763000;0.110173
0.746822000;0.110173
0.748941000;0.109680
0.750000000;0.109564
0.751059000;0.109320
0.752119000;0.109320
0.753178000;0.109320
0.754237000;0.109320
0.755297000;0.108872
0.756356000;0.108478
0.757415000;0.108206
0.758475000;0.108206
0.759534000;0.108206
0.760593000;0.108206
0.762712000;0.108206
0.763771000;0.108149
0.764831000;0.108149
0.765890000;0.106345
0.766949000;0.106345
0.768008000;0.105577
0.769068000;0.105416
0.770127000;0.105317
0.771186000;0.104194
0.772246000;0.104083
0.773305000;0.103830
0.775424000;0.103830
0.776483000;0.103521
0.778602000;0.103521
0.779661000;0.103327
0.780720000;0.103279
0.781780000;0.102943
0.784958000;0.102742
0.786017000;0.102742
0.787076000;0.101171
0.788136000;0.100894
0.789195000;0.100894
0.791314000;0.100417
0.792373000;0.099376
0.793432000;0.098892
0.794492000;0.098892
0.795551000;0.098427
0.796610000;0.097700
0.797669000;0.097450
0.798729000;0.097172
0.800847000;0.097172
0.801907000;0.096952
0.802966000;0.096770
0.804025000;0.096684
0.805085000;0.096684
0.806144000;0.096684
0.807203000;0.096309
0.808263000;0.094630
0.809322000;0.094042
0.810381000;0.093624
0.811441000;0.093131
0.812500000;0.092801
0.813559000;0.092552
0.814619000;0.092306
0.815678000;0.091482
0.817797000;0.090727
0.818856000;0.089376
0.819915000;0.089376
0.820975000;0.089183
0.822034000;0.088747
0.823093000;0.087916
0.824153000;0.087709
0.826271000;0.087709
0.827331000;0.086673
0.828390000;0.086673
0.829449000;0.086673
0.830508000;0.086534
0.831568000;0.085643
0.832627000;0.085379
0.833686000;0.084162
0.834746000;0.083821
0.835805000;0.083705
0.836864000;0.083536
0.837924000;0.082689
0.838983000;0.082294
0.840042000;0.082219
0.841102000;0.081847
0.842161000;0.081756
0.843220000;0.080428
0.844280000;0.080181
0.845339000;0.079696
0.846398000;0.079605
0.847458000;0.079515
0.848517000;0.079512
0.849576000;0.077361
0.850636000;0.077167
0.851695000;0.076245
0.852754000;0.076231
0.853814000;0.074923
0.854873000;0.074923
0.855932000;0.074074
0.856992000;0.073551
0.859110000;0.073551
0.860169000;0.073551
0.861229000;0.072908
0.862288000;0.072841
0.863347000;0.072761
0.864407000;0.071504
0.865466000;0.071099
0.866525000;0.070804
0.867585000;0.070404
0.868644000;0.070404
0.869703000;0.070159
0.870763000;0.069886
0.871822000;0.069422
0.872881000;0.069360
0.873941000;0.069351
0.875000000;0.068925
0.876059000;0.068520
0.877119000;0.068520
0.878178000;0.068012
0.879237000;0.067507
0.880297000;0.067501
0.881356000;0.067219
0.882415000;0.067219
0.883475000;0.067219
0.884534000;0.067219
0.885593000;0.067197
0.886653000;0.066582
0.887712000;0.066466
0.888771000;0.066429
0.889831000;0.066346
0.890890000;0.066346
0.891949000;0.065776
0.893008000;0.064302
0.894068000;0.064100
0.895127000;0.063783
0.896186000;0.063466
0.897246000;0.063412
0.898305000;0.063311
0.899364000;0.063311
0.900424000;0.062912
0.901483000;0.062865
0.902542000;0.062846
0.903602000;0.062679
0.904661000;0.062281
0.905720000;0.061786
0.906780000;0.061314
0.907839000;0.061062
0.908898000;0.060718
0.909958000;0.060237
0.911017000;0.060237
0.912076000;0.060176
0.913136000;0.059857
0.914195000;0.059598
0.915254000;0.059598
0.916314000;0.059598
0.917373000;0.059068
0.918432000;0.058704
